#Genus	R1_A_D1	R1_A_D2	R1_B_D1	R1_B_D2	R1_C_D1	R1_C_D2	R2A_A_D1	R2A_A_D2	R2A_B_D1	R2A_B_D2	R2A_C_D1	R2A_C_D2	R2_A_D1	R2_A_D2	R2_B_D1	R2_B_D2	R2_C_D1	R2_C_D2	SF2_A_D1	SF2_A_D2	SF2_B_D1	SF2_B_D2	SF2_C_D1	SF2_C_D2
Haloferula	16	17	32	12	45	17	238	66	124	12	19	3	14	31	47	25	68	18	3	3	4	2	9	0
Halolactibacillus	33	164	37	11	5	101	0	0	1	1	0	0	65	25	67	61	351	203	0	0	0	0	0	2
Halomicrobium	11	4	33	5	34	95	0	0	0	0	0	0	5	17	52	30	24	14	0	1	6	6	0	5
HalomonadaceaeFA	1433	125	72	64	57	102	1	1	120	1	0	14	18	157	64	80	42	27	2	0	0	0	0	2
Halomonas	5887	2575	1159	937	1585	1949	115	62	34	5	13	0	401	1154	1249	523	1061	500	276	110	154	131	813	130
Haloplanus	158	82	113	123	294	115	0	1	6	1	0	0	77	948	356	152	234	172	0	1	261	161	15	24
Haloplasma	128	54	524	62	447	855	0	2	2	1	2	0	177	109	623	362	179	308	0	0	2	3	7	1
HaloplasmataceaeFA	7	2	20	6	17	77	3	6	13	294	11	9	23	40	62	70	4	26	3	30	12	6	44	118
Halorhabdus	0	0	5	0	4	15	0	0	0	0	0	0	0	2	6	2	1	0	0	4	61	69	4	6
Halorhodospira	0	3	0	0	0	0	0	0	0	0	0	0	0	2	1	0	1	0	0	0	97	76	2	10
Halorubrum	273	225	800	183	1023	1699	2	10	24	4	8	2	987	5533	3510	2811	2188	5231	4	7	197	159	10	93
Halosimplex	49	8	113	15	189	205	0	1	3	0	0	0	31	71	122	65	49	40	0	0	32	25	12	39
Haloterrigena	12	3	29	6	40	142	1	0	0	0	0	0	30	139	38	68	10	18	0	2	10	14	13	73
Halothermothrix	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	4	4	98	22
Halothiobacillus	1331	549	1025	529	499	932	2	9	38	11	1	0	781	1519	1605	543	528	564	9	251	29	39	186	147
Halovivax	95	26	255	14	50	500	1	1	0	0	0	0	62	311	142	393	17	128	2	9	147	92	48	199
HaptophyceaeOR	0	0	6	32	2	209	0	0	0	0	0	0	253	949	294	2684	11	1834	0	0	0	0	0	1
HolophagalesOR	0	0	0	0	0	0	64	53	110	19	113	15	0	0	0	0	0	0	363	249	488	403	860	219
HydGC-84-221APH	1	2	0	4	1	12	0	0	0	0	0	0	23	112	10	1	1	3	0	0	1	0	0	0
HyphomicrobiaceaeFA	0	0	1	0	2	3	493	3504	1618	477	3546	395	0	21	3	5	1	0	30	122	37	45	92	60
HyphomonadaceaeFA	25	24	7	18	9	32	128	72	1322	22	73	13	31	107	12	171	4	447	2	0	1	0	2	0
Hyphomonas	0	1	0	0	0	0	6	3	9	3	61	1	0	2	0	0	0	1	4	4	9	13	24	8
IE043	485	476	537	466	673	458	2	8	8	82	35	42	465	1301	776	362	688	626	11	158	1091	853	369	1619
IF058	8	3	14	48	11	7	0	0	3	5	0	24	6	8	33	5	19	22	23	106	218	165	264	506
Idiomarina	326	80	29	21	26	22	1	0	0	0	0	0	1	5	35	3	53	10	0	0	0	0	0	1
IgnavibacteriaceaeFA	2	0	1	2	0	0	362	130	393	8978	3486	11198	0	0	1	1	0	0	663	382	355	338	591	124
Ignavibacterium	0	0	0	0	0	0	7	0	2	357	1	11	0	0	0	0	1	0	4	4	4	4	23	3
Inquilinus	23	33	210	63	140	83	226	324	635	39	59	2	65	74	210	110	278	59	3	3	4	0	2	2
IntrasporangiaceaeFA	0	0	0	0	0	0	1573	337	115	20	39	2	1	2	0	0	0	1	4	12	15	13	29	8
IsosphaeraceaeFA	4	1	9	6	7	23	0	0	0	1	0	0	8	15	12	36	5	19	0	0	0	0	0	0
JTB38FA	75	133	217	300	247	127	417	2800	745	71	983	368	163	153	292	202	295	132	129	82	68	74	208	20
Jannaschia	776	671	531	340	281	476	199	33	53	5	7	1	171	254	365	292	405	270	10	16	15	4	25	5
JdFBGBactFA	0	0	0	0	0	0	5	58	138	27	230	6	0	0	0	0	0	0	2	0	1	0	10	0
KB1CL	1	1	1	6	31	64	0	1	1	0	0	0	176	1317	71	196	11	103	0	0	1	0	0	0
KSA2	263	355	615	370	508	327	38	8	25	23	8	27	413	617	1015	428	1386	2162	235	104	268	236	549	228
KSB1PH	1	1	0	0	0	0	3	143	29	4	20	2	0	0	1	0	0	1	5	19	47	32	151	73
Kiloniella	12	24	22	17	31	19	25	234	14	3	29	28	8	6	10	5	5	2	0	0	0	1	2	0
KiloniellaceaeFA	2	4	5	6	8	4	0	0	1	0	0	0	10	5	20	4	15	2	0	0	38	35	4	58
Knoellia	0	0	0	0	0	0	41	18	45	1	8	0	0	0	0	0	0	0	1	2	1	0	2	0
KordiimonadalesOR	143	285	105	152	83	46	3	1	2	2	1	0	72	33	160	55	161	114	7	0	15	4	95	20
Kordiimonas	0	0	0	0	0	0	0	0	5	10	27	101	0	0	0	0	0	0	0	0	0	0	0	0
KueneniaceaeFA	0	1	1	0	2	1	0	0	0	1	0	0	34	133	12	17	13	43	44	21	85	57	63	86
KueneniaeCL	3	3	2	3	4	4	78	52	188	437	106	140	16	123	9	17	3	2	327	196	327	313	732	275
LCP-6	0	0	0	0	0	0	0	0	7	736	7	7	0	0	0	1	0	0	136	91	122	102	342	46
LCP-89PH	2	2	2	10	1	18	0	0	2	0	0	2	11	404	5	5	1	15	108	139	200	163	487	262
LD1-PA13OR	0	0	0	0	0	0	121	338	135	12	179	8	0	0	0	0	0	1	344	324	269	297	389	60
Labrenzia	0	0	0	0	0	0	4	26	32	1	111	0	0	0	0	0	0	0	0	0	0	0	0	0
LachnospiraceaeFA	0	0	0	0	0	0	0	1	0	88	5	7	0	3	3	0	0	1	2	12	9	20	10	12
Lacinutrix	0	5	17	14	3	5	46	278	248	36	37	2	6	43	31	11	42	6	2	1	2	2	2	0
LactobacillalesOR	6	13	30	12	16	54	0	0	0	0	0	0	4	5	59	7	29	7	2	0	0	0	0	0
Legionella	0	0	0	0	0	1	0	1	0	0	0	0	101	10	0	5	0	14	0	0	0	0	0	0
LegionellaceaeFA	0	0	0	0	0	0	47	37	13	0	32	3	0	0	0	0	0	0	0	0	0	0	0	0
LegionellalesOR	18	5	73	8	13	38	10	6	9	254	3	0	9	14	105	7	95	9	0	1	1	1	0	5
LentisphaeraeCL	1	1	0	0	3	2	0	0	0	0	0	0	2	72	16	1	3	3	0	0	0	0	0	0
LentisphaeralesOR	123	34	54	67	255	43	0	0	0	0	0	0	93	416	394	46	310	127	149	19	22	20	249	11
Leptolyngbya	1	0	10	7	9	57	0	0	0	0	0	0	28	44	18	16	14	16	0	0	0	0	0	0
Levilinea	0	0	0	1	0	0	1266	1372	1649	128	1123	153	0	5	0	0	0	1	192	89	141	142	292	100
Lewinella	2	1	2	2	1	1	1102	1500	1375	198	482	26	1	2	0	1	1	3	1085	436	114	121	799	45
LitincolaceaeFA	37	48	52	143	72	30	2	228	25	768	19	44	33	29	50	31	75	19	38	66	35	27	51	196
Loktanella	32	61	66	63	15	76	570	54	314	46	28	7	71	451	62	254	37	179	597	458	2226	2209	1102	368
Luteolibacter	6	2	16	4	1	1	141	20	94	2	12	2	4	7	57	3	103	15	29	44	391	330	155	120
Lutibacterium	6	5	3	5	5	5	321	61	93	13	46	2	2	18	2	4	3	7	22	23	23	21	63	9
Lutimonas	0	1	3	4	1	2	202	35	118	101	27	6	1	13	0	2	0	6	1379	2874	1475	1388	2374	843
Lysinibacillus	0	0	6	0	8	67	7	22	31	8	14	0	31	224	46	99	1	36	16	54	88	70	153	387
MC18	0	0	0	0	0	0	190	31	37	2	11	0	0	0	0	0	0	0	0	0	0	0	1	0
MC47OR	0	0	0	0	0	0	0	44	17	854	127	472	1	0	0	0	0	0	0	1	0	0	0	0
ML110J-20	9	10	7	9	11	5	0	0	0	1	0	0	1	4	17	2	21	6	0	0	0	0	0	0
ML615J-28CL	2266	1169	282	421	1802	308	115	3	0	2	0	20	241	550	905	609	486	566	4	16	18	6	23	31
ML635J-28FA	110	203	159	38	73	53	0	0	0	0	0	0	1	5	8	5	3	1	0	2	17	12	0	4
MND4FA	0	0	0	0	0	0	2	17	189	65	105	3	0	0	0	0	0	0	33	23	23	17	31	1
MOB7-9FA	6	4	4	6	18	10	0	0	0	0	0	0	16	57	13	4	0	2	108	23	59	55	119	13
MSB-5A5CL	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	533	287	140	127	279	41
MSB-5B5CL	19	4	6	12	15	17	0	0	0	0	0	0	61	97	42	14	10	17	80	32	136	131	133	33
MSBL2OR	1	1	6	7	7	5	0	0	0	0	0	0	41	40	22	28	14	26	0	0	0	0	0	0
MSBL3	0	0	0	0	0	0	50	18	53	4	5	1	0	2	0	0	0	0	23	82	20	37	56	25
MVP-15PH	0	1	12	3	6	0	0	0	3	0	0	0	4	11	281	11	320	10	0	0	0	0	0	0
MVS-40CL	0	1	0	0	0	0	2	1	32	861	5	41	0	0	0	0	0	0	103	134	90	106	270	69
Maribacter	1	3	1	9	0	24	10	2	8	0	0	0	165	501	27	902	4	4249	25	18	112	91	66	14
Maribius	1	2	3	3	0	1	21	13	34	8	15	0	4	6	2	8	0	12	0	1	0	1	3	0
Marinibacillus	1	0	14	0	11	98	0	9	10	6	7	10	56	492	86	277	4	62	2	38	78	78	163	601
MarinilabiaceaeFA	611	393	2083	659	774	291	89	250	187	1014	345	542	996	453	2054	339	5796	3080	63	51	362	323	430	109
Marinobacter	12213	14819	9185	8344	13006	11955	4198	993	1382	128	131	13	2089	2348	11749	2847	14005	2243	519	253	91	96	678	107
Marinobacterium	0	1	0	0	0	0	0	0	3	6	0	0	0	4	0	0	1	0	17	68	6	1	44	1
Marinomonas	1	0	0	0	0	0	7	146	22	2	16	0	3	1	0	1	0	2	0	0	0	0	1	0
Marinovum	9630	10942	11662	10978	8251	13519	246	115	199	47	81	5	14037	8516	9291	13703	7237	8328	27	35	62	57	76	44
Mariprofundus	0	0	0	0	0	0	15	81	8	116	960	9328	0	2	0	0	0	0	47	31	192	204	278	10
Marivita	7760	6330	5644	6374	5077	10367	242	37	137	19	24	9	3569	3500	6177	5785	4582	5708	22	23	14	15	72	36
Marmoricola	0	0	0	0	0	0	0	7	1	26	44	24	0	0	1	0	0	1	0	0	0	0	0	1
Mesonia	14	19	3	5	3	2	35	3	8	0	0	0	0	1	1	2	9	2	0	0	0	0	0	0
Mesorhizobium	0	0	1	0	0	0	46	48	157	24	63	2	1	11	1	0	0	2	2	12	8	3	21	10
MethanobacterialesOR	316	402	319	276	555	229	0	1	4	12	19	227	727	807	1417	455	1807	635	81	26	54	60	79	12
Methanococcoides	2	1	2	1	0	0	0	0	0	0	0	0	0	0	0	2	0	1	5	77	7	8	16	4
Methanogenium	30	84	1	6	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	1	0	0
Methanohalophilus	19	11	4	4	17	4	0	0	0	0	0	0	27	21	5	5	2	6	0	0	0	0	1	0
Methanolobus	205	227	92	67	160	107	0	0	0	0	0	0	35	18	122	23	123	9	2	0	3	3	4	3
MethylococcalesOR	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	14	32	23	23	46	14
Methylococcus	0	0	0	0	0	0	0	7	3	550	13	108	0	0	2	1	0	1	0	23	4	5	89	65
Methylomicrobium	0	0	0	0	0	0	0	0	1	147	0	6	0	0	0	0	0	0	0	0	0	0	0	0
Methylophaga	1251	1042	311	422	1220	648	53	5	12	0	12	1	128	376	531	206	361	184	39	9	20	22	64	11
Methylotenera	0	0	0	0	0	0	6	0	3	4	2	0	0	0	0	0	0	0	71	57	106	91	59	17
MicrobacteriaceaeFA	4	2	6	3	1	1	0	0	0	0	0	0	42	28	28	26	29	92	0	0	0	0	0	0
Microbulbifer	0	0	1	0	0	0	999	1270	1210	146	225	3	0	1	1	0	0	2	5	19	8	5	2	3
Microcella	12	12	2	11	12	12	0	0	0	0	1	0	166	60	9	39	6	70	1	0	1	0	0	0
Microcoleus	0	0	0	0	0	0	3	1	0	0	0	0	0	1	25	0	164	3	0	0	0	0	0	0
MicromonosporaceaeFA	0	0	0	0	0	0	155	216	104	7	21	1	0	0	0	0	0	1	0	4	0	1	1	1
MicrothrixaceaeFA	1	0	1	1	0	10	96	35	77	11	35	1	12	56	8	24	2	22	2	10	3	6	10	0
Muricauda	89	125	244	293	77	145	173	148	211	13	74	4	107	138	191	171	181	124	3	5	7	8	91	12
Mycobacterium	0	1	0	0	0	0	5	82	57	142	250	115	1	1	1	1	0	0	10	14	12	9	36	14
MyxococcalesOR	11	23	51	51	27	34	865	1157	958	709	794	948	74	100	93	88	105	133	3458	2333	2770	2804	4977	1589
NB1-iFA	0	0	0	0	0	0	129	1709	688	100	995	147	0	1	0	0	1	0	316	184	153	150	549	65
NB1-jOR	0	0	0	0	1	0	25	565	298	50	727	357	0	0	0	0	0	0	89	121	159	138	204	58
ND137	6	8	27	36	8	14	93	17	3	0	17	1	14	2	31	13	24	10	0	0	0	0	12	2
NKB15OR	0	0	0	0	0	0	5	25	173	4	9	0	0	0	0	0	0	0	11	3	25	20	67	5
NKB19PH	0	0	0	0	0	0	40	370	339	790	180	389	0	0	0	0	1	0	1	0	3	0	3	9
NannocystaceaeFA	0	0	0	0	0	0	67	52	65	22	139	6	0	0	0	0	0	0	0	0	0	0	0	0
NatranaerobialesOR	74	36	22	39	56	57	0	0	0	0	0	0	16	3	0	25	6	10	0	0	0	0	0	0
Natronincola	3	1	26	0	15	54	0	0	0	0	0	0	12	5	18	19	5	3	0	0	0	1	0	0
Natronobacillus	6	1	64	2	47	212	2	2	7	1	2	4	45	71	114	87	23	40	0	1	5	1	3	7
Natronorubrum	2	0	8	0	4	14	1	0	0	0	0	0	1	12	5	13	1	2	1	1	43	36	5	15
NautilialesOR	12	25	40	66	52	17	54	23	48	103	43	172	14	9	45	22	62	25	19	658	198	164	191	25758
Nereida	4	1	17	5	15	11	1	0	1	1	2	0	7	39	9	24	5	74	0	1	2	0	2	0
Nevskia	0	0	0	0	0	0	0	1	0	3	29	65	0	0	1	10	0	0	1	0	0	0	0	0
NitrosomonadaceaeFA	0	0	0	0	0	0	52	305	869	295	389	20	0	0	0	0	0	0	31	12	6	6	28	0
Nitrosomonas	0	0	0	0	0	0	360	265	38	28	28	1	0	2	0	0	0	0	169	99	28	26	200	4
Nitrosopumilus	0	0	0	0	0	0	163	588	434	135	2176	328	0	1	0	0	0	0	46	20	6	2	108	6
Nitrospina	0	0	0	0	0	0	4	64	5	2	44	44	0	0	0	0	0	0	2	3	1	0	2	0
Nitrospira	0	0	0	0	0	0	617	992	985	288	639	24	0	0	0	0	0	0	92	78	24	22	107	13
NitrospiralesOR	0	0	1	0	0	0	0	0	0	123	11	71	0	0	0	0	0	0	0	5	10	6	12	29
NostocaceaeFA	0	0	0	0	24	9	0	0	2	0	0	1	65	110	7	169	1	152	0	0	0	0	1	0
Novosphingobium	1	0	0	0	0	0	60	83	33	40	42	14	1	3	0	0	1	1	1	1	3	1	14	4
O4D2Z37OR	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	261	177	382	353	646	81
OM190OR	2	4	7	10	2	2	98	653	134	66	883	432	5	2	6	11	8	5	7	17	15	6	33	22
OM60FA	104	106	221	421	234	481	2917	1745	2195	556	672	214	650	1882	377	1201	341	1537	5070	5776	3080	2896	6490	1271
OP3PH	3	0	1	1	2	3	0	0	0	0	0	0	17	58	35	13	9	16	0	0	3	3	0	0
OP8_2CL	0	0	0	0	0	0	2	0	9	28	0	2	0	0	0	0	0	0	290	170	247	242	978	200
OPB11OR	3	3	13	5	7	47	8	9	8	264	4	8	15	981	59	36	8	44	305	348	690	748	1301	328
OPB56CL	154	141	272	282	279	193	18	2	12	0	5	0	371	304	278	131	309	224	23	16	48	33	69	15
OS-KCL	0	2	0	1	0	1	211	24	63	79	51	160	2	9	1	0	0	0	880	739	1637	1500	2281	589
Oceanibulbus	5	3	0	4	1	16	729	261	631	124	99	11	15	108	7	25	1	50	115	202	110	101	251	67
Oceanicaulis	11	27	40	71	20	24	2	0	0	0	0	0	161	37	33	42	62	59	0	0	0	0	0	0
Oceanicola	2048	1679	2589	1475	1900	2005	317	190	225	39	70	33	739	428	1267	641	2008	677	21	20	30	34	46	17
OceanospirillaceaeFA	151	177	166	130	180	266	263	802	290	86	314	448	70	214	186	202	122	87	50	66	150	148	133	101
OceanospirillalesOR	0	0	0	0	0	0	14	3	11	3	2	1	0	17	0	0	0	0	212	198	61	60	256	38
Octadecabacter	7	7	14	14	4	27	278	45	228	37	30	1	19	301	20	57	2	79	165	195	275	264	371	86
OleiphilaceaeFA	1	9	7	6	12	4	0	2	5	2	0	2	1	6	9	3	14	1	6	0	0	3	15	4
Olleya	0	0	1	0	0	0	814	1222	1278	118	500	58	0	1	0	0	0	2	45	28	23	8	64	18
OpitutaceaeFA	0	1	0	0	0	0	4	10	14	7	8	0	0	0	0	0	0	0	29	54	23	26	64	15
OpitutaeCL	0	0	0	0	0	0	116	402	323	68	488	63	0	0	0	1	0	0	7	1	2	2	6	0
P30-6	0	0	4	0	3	0	5	0	2	1	0	0	2	13	108	1	25	1	57	14	154	127	215	739
PAUC34fPH	0	0	0	0	0	0	18	94	17	1	2	1	0	0	0	0	0	0	9	3	15	18	51	4
PBS-18OR	28	9	16	1	21	12	1	0	0	0	0	0	37	8	25	0	24	0	5	17	17	19	45	29
PBS-25CL	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	8	2	56	65	35	5
PBS-III-9OR	21	10	20	14	22	27	8	2	3	131	26	74	39	144	28	29	22	70	71	215	507	441	674	956
PRR-10FA	0	0	0	0	0	0	18	127	84	9	117	3	0	0	0	0	0	0	57	62	19	28	57	1
PRR-11CL	10	10	25	23	39	19	1	13	9	195	65	158	19	75	49	26	42	16	44	19	128	100	99	64
PRR-12CL	0	0	7	1	5	7	22	42	55	121	32	13	1	17	7	1	5	1	221	400	529	504	463	253
PW285CL	0	0	0	0	0	0	2	14	2	1	15	1	0	0	0	0	0	0	37	11	3	5	53	4
PaenibacillaceaeFA	0	0	2	0	3	3	0	1	1	25	5	0	4	4	12	15	0	1	5	58	7	11	38	663
Paenibacillus	1	0	7	4	3	9	0	2	6	6	9	20	6	22	17	19	1	2	1	37	25	28	55	37
Paenisporosarcina	0	0	7	0	1	59	20	10	30	6	11	9	29	196	32	88	5	31	6	19	40	36	64	138
Parachlamydia	0	0	0	0	0	0	0	8	1	200	8	5	0	0	0	0	0	0	0	0	0	0	1	0
ParachlamydiaceaeFA	3	7	63	39	21	15	0	2	3	2	1	0	52	40	51	58	67	234	0	0	2	1	0	3
Patulibacter	0	0	1	0	0	0	34	39	44	1	4	0	0	0	0	0	0	0	0	0	1	0	2	0
Pelagicoccus	0	0	0	0	0	0	65	90	79	1	10	2	0	1	0	0	0	0	0	0	0	0	10	0
Pelobacter	551	198	518	334	1146	150	190	687	381	8173	1545	2041	39	53	269	46	27	46	79	978	2745	2315	2674	10331
PeptococcaceaeFA	157	170	193	220	165	108	0	1	0	1	0	0	107	38	124	136	99	226	0	1	4	2	5	32
Phaeobacter	100	105	99	86	71	113	438	178	190	40	38	4	83	119	76	111	60	71	25	26	61	50	58	9
Phenylobacterium	0	0	0	0	0	0	8	26	33	0	546	10	0	0	1	1	0	1	0	0	0	0	0	0
PhormidiaceaeFA	0	1	17	1	2	2	0	0	0	0	0	0	21	54	19	8	54	0	0	0	0	0	0	0
Photobacterium	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	73	34	12	9	39	2
PhycisphaeraceaeFA	2	9	46	32	26	12	196	161	776	338	451	153	22	22	72	20	77	50	26	76	252	208	93	677
PhycisphaeraeCL	141	128	176	211	242	170	112	168	337	2626	409	1740	547	954	329	282	609	871	2002	1675	3797	3402	5560	2057
PhycisphaeralesOR	49	73	202	177	118	122	33	154	104	106	128	235	169	113	298	227	299	113	40	61	112	86	141	93
PhyllobacteriaceaeFA	14	9	54	15	47	133	1178	2157	1864	1357	2210	991	36	302	79	101	46	37	612	1968	866	780	1576	939
Pimelobacter	0	0	0	0	0	0	98	23	10	1	7	0	0	0	0	0	0	0	0	1	1	1	1	2
PirellulaceaeFA	0	0	0	0	0	0	5	76	26	116	12	8	0	0	0	0	0	0	5	44	35	27	75	86
PirellulalesOR	304	215	1277	281	777	2298	3872	4099	4981	1741	3157	891	2063	2837	2096	3416	1583	3156	1009	2165	1221	1098	1917	2344
PiscirickettsiaceaeFA	0	0	0	0	0	0	0	3	2	1	3	12	1	2	0	0	0	5	1	11	16	18	23	3
Planctomyces	76	108	319	258	88	212	3243	2509	3081	344	868	170	148	185	258	291	401	544	84	232	83	87	170	88
PlanctomycetesPH	0	0	0	0	0	0	16	9	8	23	48	162	0	0	0	0	0	0	38	36	18	16	93	25
Plesiocystis	0	2	2	2	8	7	85	292	166	4	14	18	2	7	11	0	7	3	7	3	9	10	9	1
Polaribacter	6	3	3	3	0	7	11	2	9	2	1	1	0	1	2	1	0	15	1	0	1	0	83	13
Pontibacillus	12	1	6	0	8	30	0	3	1	1	5	18	7	11	13	14	0	10	1	9	14	16	20	93
Pontibacter	0	0	0	0	0	1	0	0	0	0	1	0	2	56	3	13	1	3	0	0	11	2	3	10
Porphyrobacter	0	0	0	0	0	2	286	43	215	22	37	4	1	4	1	2	0	4	82	90	39	31	182	17
PorphyromonadaceaeFA	2	35	2	6	6	0	0	0	0	8	0	0	0	3	24	3	49	17	65	60	3	7	147	15
Propionigenium	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	1	0	0	280	166	63	63	468	20
ProteobacteriaPH	34	50	136	96	31	18	864	402	281	83	59	3	43	27	105	46	96	49	336	143	258	274	331	79
Pseudidiomarina	35	38	3	6	6	18	0	1	0	0	0	0	4	8	21	6	22	18	1	0	0	0	1	0
Pseudoalteromonas	5	5	1	2	3	7	12	3	5	0	1	1	1	1	104	2	1	188	0	1	1	1	21	1
Pseudomonas	0	0	0	0	0	3	1	0	0	0	0	0	1	287	7	1	2	17	0	0	6	9	1	3
Pseudoruegeria	1	2	2	2	0	0	78	88	167	31	72	3	2	6	1	2	0	5	1	3	12	14	18	3
Psychrobacter	0	0	0	0	0	0	141	2	39	3	3	1	0	0	0	0	0	0	0	0	0	0	0	0
Psychroflexus	208	357	2028	254	195	133	5	1	2	1	0	0	224	157	926	131	2949	146	1	0	2	0	6	4
Psychromonas	0	0	0	0	0	0	0	0	0	2	3	1	0	0	0	0	0	0	18	16	10	15	47	62
Pullulanibacillus	0	0	2	0	2	10	0	7	8	33	78	156	7	20	28	33	0	9	6	15	58	44	275	184
PuniceicoccaceaeFA	155	186	560	157	326	75	194	609	442	43	738	29	242	278	1421	107	2194	621	380	111	279	219	396	42
R76-B18CL	5	2	9	7	11	7	605	217	152	46	46	33	7	21	19	11	28	14	228	129	170	193	455	70
RB25CL	0	0	0	0	0	0	488	707	454	168	397	376	0	0	0	0	0	0	722	411	501	514	946	135
RF39OR	25	62	7	7	3	14	0	0	0	0	0	0	1	2	3	2	0	2	0	0	0	0	0	0
Reinekea	6	9	4	1	8	9	75	13	8	0	1	2	7	3	5	2	0	3	8	0	0	0	4	2
RhizobialesOR	23	17	59	69	26	218	1504	2719	4022	701	2169	570	2162	868	132	800	94	298	97	443	233	214	406	296
RhodobacteraceaeFA	2798	2391	4859	4648	2455	4503	2501	976	1834	225	707	166	5170	8177	3270	8631	2612	13719	494	1257	904	886	1474	693
RhodobacteralesOR	0	0	0	0	0	0	154	575	798	79	860	64	0	2	0	0	0	0	4	2	3	4	10	1
RhodobiaceaeFA	0	0	0	0	0	0	9	149	380	93	607	155	0	1	0	0	0	0	0	1	1	1	0	0
RhodocyclalesOR	0	0	0	0	0	0	200	237	187	1046	388	1832	0	0	0	1	0	0	485	208	262	276	591	50
Rhodoplanes	0	0	1	0	2	1	85	586	354	370	1239	449	0	2	0	6	0	0	4	7	2	3	4	4
RhodospirillaceaeFA	320	273	1054	441	1070	786	6512	15317	17876	1712	9633	3135	729	795	1001	761	1164	965	772	884	2040	1655	1581	2217
RhodospirillalesOR	0	0	0	0	0	0	47	70	78	6	111	28	0	0	1	0	0	0	25	20	18	12	62	6
Rhodothalassium	0	0	0	0	0	0	0	2	2	6	138	59	0	0	0	0	0	0	0	0	0	0	0	0
RhodothermaceaeFA	256	247	356	537	179	311	3324	5350	5287	1419	4030	2305	115	215	240	268	209	408	206	189	90	55	253	45
Rhodovibrio	124	116	325	76	304	196	0	1	2	1	2	0	35	33	301	43	335	19	1	0	51	50	12	10
Rhodovulum	25	31	113	48	36	67	12	133	121	15	133	1	92	78	104	179	134	68	3	1	1	0	7	0
RickettsiaceaeFA	5	30	7	11	71	43	0	0	0	0	0	0	7	2	13	9	22	19	0	0	0	0	0	0
Robiginitalea	0	1	1	2	0	0	34	11	10	3	4	0	0	16	0	1	1	0	142	411	152	141	302	89
Roseisalinus	3	3	3	9	1	5	103	101	103	17	25	3	3	17	6	13	2	17	11	10	11	16	28	2
Roseivirga	55	145	49	69	75	37	255	725	451	192	613	439	12	15	106	20	211	27	0	1	1	1	11	0
Roseivivax	1343	1275	1388	1107	832	1685	79	22	71	26	12	2	587	599	886	660	680	631	6	10	19	21	23	26
Roseovarius	63	70	194	200	38	147	180	68	140	15	33	6	214	144	110	271	65	272	10	10	16	7	16	5
Rubritalea	0	0	0	0	0	0	63	59	12	12	19	1	0	0	0	0	0	0	0	0	0	0	0	0
RubrobacteraceaeFA	0	0	0	0	0	0	1	0	18	227	14	52	0	1	0	0	0	1	24	58	34	32	76	84
S0208OR	1	0	0	0	0	0	134	307	440	166	102	4	0	0	0	0	0	0	231	246	191	179	539	166
S085OR	0	0	0	1	0	0	95	481	449	154	517	113	0	0	1	0	0	0	1	1	0	0	2	0
SAW1_B6OR	0	0	0	0	0	0	1	0	0	3	0	0	0	1	0	0	0	0	131	112	319	305	382	151
SB-34OR	0	0	0	0	0	0	3	0	46	1120	1	17	0	0	0	0	0	0	39	78	64	70	128	83
SB-45OR	0	1	0	0	0	1	0	0	1	62	2	1	0	11	0	0	0	1	5	85	90	91	137	290
SBRH58CL	2	0	0	1	3	3	0	0	6	49	1	1	27	43	2	13	2	30	285	107	59	50	238	36
SC72CL	93	169	29	54	127	54	0	0	0	0	0	0	96	44	17	174	11	19	0	0	1	0	0	0
SHA-20OR	0	0	0	0	0	0	12	0	3	13	0	0	0	1	0	0	0	0	322	511	563	566	1102	242
SHA-31FA	0	0	1	0	0	0	1538	565	349	43	251	640	0	0	0	0	0	0	185	232	312	307	1146	172
SHD-231	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39	35	41	48	26
SJA-28CL	0	0	0	0	0	0	1	70	20	2	23	0	0	0	0	0	0	0	25	93	6	11	21	7
SJA-4CL	342	236	91	97	169	78	344	589	234	617	992	166	88	66	39	35	25	34	0	40	83	64	11	377
SJA-88	76	88	135	63	66	95	29	1	24	186	21	83	201	142	231	140	301	315	210	76	92	93	183	40
SM1B09CL	0	0	0	0	0	0	11	195	217	41	381	31	0	0	1	0	0	0	0	0	0	0	0	0
SOGA31CL	1	1	0	0	1	0	510	500	540	528	949	1059	1	6	0	0	2	2	42	105	58	51	140	37
SR1PH	491	1142	207	204	86	104	0	1	0	0	0	0	60	48	229	63	167	119	0	0	0	0	4	0
SSS58AOR	2	0	2	1	3	39	0	3	5	1	1	0	282	2541	90	136	6	12	247	157	441	438	387	68
SSW63AuOR	75	81	124	158	153	43	0	1	1	13	1	14	81	150	205	130	272	70	37	122	572	440	115	803
